texto,label
"Ganhe dinheiro rápido agora",spam
"Reunião marcada para amanhã",nao_spam
"Oferta imperdível clique aqui",spam
"Vamos estudar Python hoje",nao_spam
"Você ganhou um prêmio incrível",spam
"Pode me ligar mais tarde",nao_spam
"Promoção exclusiva só hoje",spam
"Entrega confirmada para amanhã",nao_spam
"Trabalhe de casa e ganhe muito",spam
"Relatório final está pronto",nao_spam
"Seu cartão foi bloqueado clique aqui",spam
"Aula cancelada hoje",nao_spam
"Compre agora com 90% de desconto",spam
"Vamos revisar o código juntos",nao_spam
"Renda extra garantida sem esforço",spam
"Lembrete da reunião semanal",nao_spam
"Parabéns você foi selecionado",spam
"Pode enviar o arquivo novamente",nao_spam
"Empréstimo aprovado na hora",spam
"Chegarei atrasado hoje",nao_spam
"Última chance para faturar alto",spam
"Confirme sua presença na entrevista",nao_spam
"Invista pouco e ganhe muito",spam
"Atividade de matemática para amanhã",nao_spam
"PIX urgente preciso agora",spam
"Mensagem recebida com sucesso",nao_spam
"Curso online grátis por tempo limitado",spam
"Prova adiada para sexta-feira",nao_spam
"Ganhos automáticos todos os dias",spam
"Vamos almoçar juntos hoje",nao_spam
"Oferta secreta só para você",spam
"Documento enviado por e-mail",nao_spam
"Fique rico em poucos dias",spam
"Atualização do sistema concluída",nao_spam
"Trabalho fácil pagamento imediato",spam
"Pode confirmar o horário da reunião",nao_spam
"Promoção relâmpago aproveite agora",spam
"Aula começa às 19h",nao_spam
"Multiplique seu dinheiro rápido",spam
"Arquivo salvo corretamente",nao_spam
"Crédito liberado sem consulta",spam
"Vamos estudar para a prova",nao_spam
"Oferta válida somente hoje",spam
"Te vejo amanhã cedo",nao_spam
"Ganhe dinheiro apenas clicando",spam
"Chamada marcada no Google Meet",nao_spam
"Investimento seguro e garantido",spam
"Pode revisar este texto",nao_spam
"Promoção exclusiva para novos usuários",spam
"Relatório precisa de ajustes",nao_spam
"Renda passiva sem trabalhar",spam
"Mensagem enviada ao cliente",nao_spam
"Compre um leve dois grátis",spam
"Reunião cancelada hoje",nao_spam
"Lucro garantido em 24 horas",spam
"Horário da entrevista confirmado",nao_spam
"Oferta especial clique no link",spam
"Entrega realizada com sucesso",nao_spam
"Trabalhe pouco ganhe muito",spam
"Vamos conversar depois",nao_spam
"Dinheiro fácil sem experiência",spam
"Backup concluído corretamente",nao_spam
"Promoção limitada aproveite",spam
"Projeto final entregue",nao_spam
"Ganhe prêmios incríveis agora",spam
"Revisão marcada para sexta",nao_spam
"Renda extra automática",spam
"Pode me avisar quando chegar",nao_spam
"Oferta exclusiva imperdível",spam
"Teste unitário passou",nao_spam
"Dinheiro rápido garantido",spam
"Aula prática hoje à noite",nao_spam
"Crédito imediato aprovado",spam
"Atualização concluída",nao_spam
"Fature alto trabalhando online",spam
"Chamada encerrada",nao_spam
"Promoção especial hoje",spam
"Arquivo anexado corretamente",nao_spam
"Ganhos ilimitados agora",spam
"Reunião adiada",nao_spam
